epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.9882,3.14489,8.99196,8.65754,3.50811,0,0,0,0,0.00333,1,0.01093,0.00219,4.35229,6.28024,19.0339,5.72539,0,0,0
2,15.1221,2.84267,5.76113,7.84976,3.04461,0,0,0,0,0.00333,1,0.01309,0.00262,4.1733,5.9102,15.6036,4.98386,1.9604e-05,1.9604e-05,1.9604e-05
3,21.424,3.12816,6.59602,8.88567,3.4039,0.00333,1,0.0061,0.00122,0.00333,1,0.01686,0.00506,3.86756,5.75103,21.0636,4.7291,3.8416e-05,3.8416e-05,3.8416e-05
4,27.683,2.51484,5.7108,13.1064,3.23046,0.00333,1,0.00599,0.0006,0.00333,1,0.01276,0.00255,3.78577,5.68919,25.9406,4.61969,5.6436e-05,5.6436e-05,5.6436e-05
5,33.9064,2.59503,6.66685,4.76764,2.78994,0.00501,1,0.01309,0.00268,0.01151,1,0.02488,0.00383,3.05788,4.6465,30.3196,3.90796,7.3664e-05,7.3664e-05,7.3664e-05
6,40.3565,2.03229,5.41887,4.1958,2.50738,0.01501,1,0.02551,0.00701,0.03423,1,0.05853,0.01171,2.8845,4.45567,55.2627,3.72048,9.01e-05,9.01e-05,9.01e-05
7,46.9161,2.23545,5.36623,4.23843,2.53848,0.00366,1,0.00599,0.0012,0.02166,1,0.0398,0.00796,3.13845,4.65078,107.117,3.91537,0.000105744,0.000105744,0.000105744
8,53.4345,2.14336,4.50638,3.79939,2.35057,0.00366,1,0.00503,0.00101,0.00366,1,0.00503,0.0005,2.77754,4.41062,133.999,3.80457,0.000120596,0.000120596,0.000120596
9,59.6482,2.17209,4.53205,4.17276,2.41815,0,0,0,0,0,0,0,0,2.74351,4.21221,126.372,3.83554,0.000134656,0.000134656,0.000134656
10,66.249,1.99115,4.10322,3.18681,2.32112,0.00333,1,0.00332,0.00033,0,0,0,0,2.26322,4.14937,100.832,3.51327,0.000147924,0.000147924,0.000147924
